WormBase Id,Public Name,stage_4_cell,stage_E_div,stage_4_AB_div,stage_5_AB_div,stage_6_AB_div,stage_7_AB_div,stage_VE,stage_CS,stage_Mov,stage_L1
WBGene00017299,F09F7.1,0.86442,1.9394,1.892,1.6498,1.2412,1.1058,1.6127,2.6716,2.4917,3.7786
WBGene00017300,F09F7.3,5.1592,5.0827,4.9155,4.9493,4.9566,5.0662,5.1158,5.0964,4.9441,5.0108
WBGene00017301,F09F7.4,4.7137,4.5916,4.2775,4.0181,4.3642,4.4763,4.6885,4.6729,4.5874,4.899
WBGene00017302,F09F7.5,1.5192,1.6601,1.4744,1.21,1.4809,1.8313,2.5234,2.8789,3.1161,3.4827
WBGene00017303,F09F7.6,3.8783,4.5795,4.9914,5.2203,5.2943,5.351,4.5197,4.8408,4.9672,4.4052
WBGene00017304,F09F7.7,4.5989,4.7871,4.7792,4.9328,5.1368,5.2663,5.2368,5.2377,5.035,5.0246
WBGene00017306,F09F9.1,1.3567,1.9855,1.9013,1.2167,1.4148,1.5904,1.7119,2.918,4.2422,4.515
WBGene00017307,F09F9.2,1.4587,1.1619,1.0812,1.0009,1.0614,1.4083,1.2121,2.8956,2.7285,4.8584
WBGene00017308,F09F9.3,0.60315,1.0435,0.68775,0.51579,0.37736,0.53614,1.8915,2.262,2.4693,2.0207
WBGene00017309,F09F9.4,0.58825,1.3599,0.7148,1.0987,0.45742,2.0512,4.4902,4.6318,4.519,3.4862
WBGene00045395,F09F9.5,0.60674,1.0577,0.94219,0.60776,0.2891,0.41282,0.66325,0.97512,1.0086,3.2147
WBGene00017310,F09G2.1,2.2446,3.0006,2.5425,2.2004,2.32,1.9861,2.566,3.0283,3.5736,3.8256
WBGene00017311,F09G2.2,4.7097,4.6268,4.418,4.2481,4.2866,4.4452,4.4937,4.4207,4.1572,4.1249
WBGene00017312,F09G2.3,1.123,1.7577,1.5597,0.71706,1.4333,0.94059,0.59174,0.59356,1.2465,3.9859
WBGene00017316,F09G2.8,4.6602,4.8281,4.689,4.2908,3.7334,4.1742,4.345,3.9605,3.5174,3.4397
WBGene00017317,F09G2.9,4.8233,5.0169,4.9295,4.8932,4.9771,4.9889,4.9261,4.7625,4.3104,4.447
WBGene00044444,F09G8.10,1.0361,1.0408,0.69336,0.51447,0.30203,0.38828,0.55493,0.51229,0.9932,2.603
WBGene00017319,F09G8.3,4.712,4.3625,4.0305,4.0377,4.4968,4.6443,4.8141,4.824,4.6929,4.6744
WBGene00017320,F09G8.5,1.8974,2.0196,1.8871,1.6432,2.0454,2.2536,1.8669,2.1186,2.6242,3.8124
WBGene00017321,F09G8.7,4.0415,3.1965,2.706,2.4305,2.4263,2.6679,2.6279,2.8038,2.8784,3.2807
WBGene00008631,F10A3.1,0.61844,1.0658,0.69157,0.53612,0.30218,0.42751,0.41615,0.54139,1.0185,2.9351
WBGene00008636,F10A3.11,1.5717,1.9186,1.2011,1.0236,1.1471,1.2419,1.7306,2.6519,3.3985,2.3601
WBGene00008637,F10A3.12,0.64358,1.5338,1.6895,1.5937,1.0502,0.79192,0.64015,1.6233,2.6014,1.2651
WBGene00008638,F10A3.16,0.59273,1.0494,0.67233,0.51338,0.28616,0.40449,0.39198,0.58783,0.99443,0.91906
WBGene00045507,F10A3.17,4.0241,4.0867,3.7574,3.8235,4.28,4.3558,4.4199,4.5248,4.388,4.6157
WBGene00008634,F10A3.4,0.6663,1.1016,0.77309,0.78581,0.73336,1.1249,0.94906,1.3989,1.3547,4.3486
WBGene00008635,F10A3.7,1.4717,1.5402,1.2926,1.2438,1.386,1.3915,1.3017,1.495,1.8564,1.6777
WBGene00008639,F10B5.2,5.0686,5.0603,4.8587,4.4513,4.4498,4.7442,4.9098,4.8895,4.5717,4.6538
WBGene00008640,F10B5.3,0.67702,1.9073,1.8727,1.1484,1.2524,0.57566,0.77329,1.7418,1.4598,2.4771
WBGene00008642,F10B5.8,4.9495,4.8136,4.5874,4.3545,4.4763,4.6686,4.6747,4.5857,4.1918,4.4539
WBGene00008643,F10B5.9,0.65955,1.0995,0.84587,0.57569,0.35195,0.52967,1.3036,2.9626,3.9533,2.7205
WBGene00017324,F10C1.1,0.69464,1.159,0.87203,0.57043,0.49406,0.79053,0.73599,1.3644,1.2501,0.94866
WBGene00017325,F10C1.3,0.8488,1.2231,1.1303,0.70485,0.53656,0.5913,0.62824,0.62878,1.2564,1.126
WBGene00017327,F10C1.8,1.5473,1.9565,1.9938,2.5407,3.0318,2.9663,3.8047,4.6795,4.8081,4.6711
WBGene00044296,F10C1.9,1.7564,2.4759,2.0406,2.6793,3.7225,4.2013,3.596,3.6215,2.5469,4.8997
WBGene00008644,F10C2.3,1.449,2.2286,2.1911,1.4447,1.2116,1.5099,1.8189,1.9961,3.0934,3.9246
WBGene00008645,F10C2.4,5.0226,5.1158,4.9405,4.7214,4.8384,4.9722,4.63,4.4977,3.9258,4.4607
WBGene00008646,F10C2.5,3.846,4.1839,4.0096,3.8667,4.3931,4.4582,4.3744,4.2191,3.5152,3.8559
WBGene00008647,F10C2.7,1.9308,2.5459,2.32,1.7491,1.6523,1.9549,1.48,1.933,1.9789,3.1653
WBGene00017328,F10C5.2,4.9422,4.889,4.5189,4.1224,4.3157,4.5703,4.3091,3.902,3.306,3.9924
WBGene00008648,F10D11.2,5.2085,5.1152,4.9263,4.811,4.9693,5.0486,4.9546,4.8862,4.7721,4.4345
WBGene00008649,F10D11.3,0.6973,1.2348,1.1372,0.71253,0.84189,0.72544,0.78312,1.041,1.2998,1.4943
WBGene00008650,F10D11.4,4.616,4.5,4.4498,4.3269,4.5328,4.834,4.9184,4.8435,4.7107,4.3493
WBGene00008651,F10D11.5,0.84291,2.0755,2.6433,2.6875,2.3927,1.7484,0.86106,0.99037,1.5746,1.3198
WBGene00008652,F10D11.6,0.77443,1.0184,0.97752,0.66297,0.87552,0.6517,2.4043,1.835,1.5634,3.4484
WBGene00017335,F10D2.10,3.9591,4.6489,4.8071,5.0874,5.1049,5.0696,5.0649,5.034,3.9385,4.4473
WBGene00017337,F10D2.12,0.66715,1.6661,3.3714,4.001,4.3278,4.3543,3.1924,3.4956,3.3097,1.8473
WBGene00017334,F10D2.8,0.61049,2.3629,3.4453,4.0048,4.2684,4.4786,3.4164,3.504,3.3793,3.2041
WBGene00017338,F10D7.1,2.7562,3.9376,4.226,3.1828,2.3541,2.2549,2.4038,2.823,2.8776,3.9604
WBGene00017339,F10D7.2,4.6961,4.665,4.4376,4.2531,4.6249,4.8023,4.8782,4.7178,4.6729,4.4867
WBGene00017340,F10D7.3,3.0898,3.3946,3.9234,4.3524,4.5876,4.7305,4.4749,4.628,4.6538,4.2679
WBGene00017341,F10D7.4,1.6114,1.4985,1.3579,1.0983,1.6168,1.9002,1.5939,1.7238,2.1129,2.0111
WBGene00017342,F10D7.5,0.96366,1.5768,1.5268,1.25,0.94983,1.077,0.52795,0.90278,1.3151,1.1139
WBGene00017343,F10E7.1,1.7115,4.4199,4.6683,4.8737,4.8542,4.5647,3.1615,2.6896,2.0986,1.3235
WBGene00017352,F10E7.11,4.7961,4.8958,4.7707,4.4718,4.5251,4.6995,4.6862,4.5712,4.2305,4.0395
WBGene00017344,F10E7.2,5.3751,5.3237,5.3006,5.2054,5.1105,5.2232,5.2154,5.2448,5.1612,5.1838
WBGene00017345,F10E7.3,0.62819,1.069,0.70851,0.54189,0.27694,0.40121,0.39711,0.66318,1.0073,0.92529
WBGene00017347,F10E7.5,5.1297,5.1414,5.1066,5.0554,5.0838,5.1317,5.0869,5.0162,4.7318,4.7888
WBGene00017348,F10E7.6,4.8282,4.58,4.2086,3.7434,4.1958,4.5043,4.7328,4.7399,4.4178,4.4566
WBGene00017350,F10E7.9,3.1477,3.5765,3.4698,4.0169,4.4623,4.6221,4.8219,4.9754,5.1399,5.0934
WBGene00017353,F10E9.1,0.78878,1.5494,1.6463,1.7432,1.9262,1.9537,0.74264,1.8867,2.6044,3.8739
WBGene00017359,F10E9.10,1.7471,2.9304,2.8812,2.6693,2.2128,1.9758,1.7716,2.6738,2.4805,3.0146
WBGene00017360,F10E9.11,5.1223,5.0812,5.0889,5.0309,5.038,5.1016,4.9524,4.9051,4.7397,4.5674
WBGene00017361,F10E9.12,1.2139,1.1471,1.2238,1.3456,1.4979,1.2939,1.0826,1.611,1.7015,2.6392
WBGene00017354,F10E9.2,2.8546,3.0762,2.9378,2.7034,2.6724,2.6137,2.9077,3.1802,2.8053,2.663
WBGene00017355,F10E9.3,5.1138,5.1222,5.0003,4.923,4.9843,4.9899,4.6144,4.7275,4.5123,4.3848
WBGene00017356,F10E9.4,5.0844,5.0172,4.906,4.7311,4.8173,4.9395,4.9754,4.9733,4.6254,4.7073
WBGene00017357,F10E9.5,5.1739,5.064,4.9451,4.7661,4.8333,4.9,4.8116,4.7338,4.3821,4.2602
WBGene00017358,F10E9.7,5.2959,5.2256,5.2113,4.9715,4.9515,5.0154,4.7296,4.4817,3.8842,4.1366
WBGene00008654,F10F2.2,0.71105,1.1604,1.0319,0.63036,0.35324,0.47696,0.46232,0.6023,1.0776,1.6674
WBGene00008656,F10F2.4,1.494,1.2961,1.1783,0.54935,0.58491,0.6351,0.62552,1.3645,2.4533,4.0719
WBGene00017362,F10G2.1,2.5067,2.5829,2.463,2.3055,1.9717,1.9538,2.0594,2.7013,3.2775,4.867
WBGene00017363,F10G2.2,2.7187,2.984,2.9307,2.2186,1.5178,1.169,0.90861,1.7674,1.4565,3.9921
WBGene00017365,F10G2.4,4.5916,5.1258,5.1619,5.1364,4.6179,3.5337,1.9536,1.7178,1.9008,1.7395
WBGene00017366,F10G2.7,0.75679,1.0624,1.207,0.54222,0.38624,0.56081,0.59111,0.95519,1.4338,1.2415
WBGene00017373,F10G7.10,0.96778,1.3288,1.1736,0.64952,0.60951,0.75474,0.52051,0.78363,1.4399,0.98577
WBGene00044744,F10G7.12,1.4203,1.4226,1.0879,1.33,0.42386,0.73699,0.57635,0.83991,1.2268,1.8142
WBGene00017369,F10G7.5,4.8807,4.8744,4.658,4.4028,4.3474,4.6374,4.9389,5.0373,4.9816,4.9353
WBGene00017370,F10G7.6,1.2368,1.8048,1.4172,1.3992,1.3527,1.2993,1.3376,1.3435,1.9117,2.0202
WBGene00017372,F10G7.9,4.9319,4.6532,4.3556,4.4215,4.5101,4.6822,4.7515,4.8204,4.7105,4.572
WBGene00008662,F10G8.2,2.1338,2.6332,2.3409,2.4023,2.7018,2.6055,2.713,2.8118,3.0928,3.8767
WBGene00008664,F10G8.6,4.9226,4.9976,4.9704,5.0153,5.1309,5.1892,5.0743,5.0379,4.8751,4.8761
WBGene00008666,F10G8.8,2.9663,3.3096,2.5269,2.0674,2.9515,3.7624,4.4434,4.7244,4.8742,4.0079
WBGene00008667,F10G8.9,4.4187,4.5454,4.2937,3.6708,3.8809,4.1802,4.1935,4.1741,3.735,3.9622
WBGene00008668,F11A1.2,3.3719,3.155,3.193,3.2565,3.2587,3.6177,3.6707,3.706,3.5465,3.3066
WBGene00008683,F11A10.2,5.2681,5.2517,5.256,5.2357,5.164,5.2243,5.183,5.1335,4.9697,4.8226
WBGene00008686,F11A10.5,5.2755,5.1041,4.8573,4.6571,4.6053,4.6591,4.867,4.9784,4.9804,4.4708
WBGene00008687,F11A10.6,4.2561,3.8357,3.6112,3.6711,3.9623,4.2177,4.4683,4.4883,4.5415,4.3716
WBGene00008688,F11A10.7,4.6376,4.6154,4.4244,4.3664,4.6512,4.8096,4.8973,4.857,4.4834,4.4984
WBGene00008670,F11A3.2,3.9606,3.8981,3.363,3.5219,3.9048,4.1597,3.9436,3.7584,3.4228,3.4897
WBGene00008679,F11A5.13,0.59168,1.2746,0.67151,0.51408,0.35177,0.40368,0.38876,0.70975,1.1441,0.92086
WBGene00008680,F11A5.15,0.66069,1.9496,1.7918,1.2538,0.63787,0.85165,0.60161,0.79442,1.2557,1.1696
WBGene00044184,F11A5.16,0.66431,1.1046,0.76208,0.57734,0.35774,0.46793,0.46378,0.57816,1.0538,1.6093
WBGene00045510,F11A5.17,0.66909,1.1101,0.74436,0.58275,0.32285,0.44433,0.63723,0.6452,1.0435,1.1061
WBGene00008671,F11A5.3,0.84372,1.6527,0.67399,0.52866,0.59077,0.45409,0.77637,0.71966,1.3797,1.7377
WBGene00008672,F11A5.4,0.6748,1.1071,0.76554,0.58905,0.35543,0.47908,0.49927,0.77916,1.106,1.8728
WBGene00008673,F11A5.5,1.3817,1.3724,1.5664,0.8729,0.6394,0.84745,1.7195,2.5638,4.4388,2.4071
WBGene00008674,F11A5.6,0.84236,2.4058,2.3365,2.2879,2.4465,2.4994,2.7157,2.6812,2.7919,2.3575
WBGene00008675,F11A5.7,0.58034,1.2865,0.66052,0.50045,0.45881,0.50622,0.37219,0.65437,1.2698,1.1726
WBGene00008677,F11A5.9,4.4636,4.6827,4.3335,2.9969,2.326,1.9218,3.7394,2.6964,1.9313,3.9057
WBGene00008690,F11C1.1,3.7106,3.9188,3.9327,4.1808,4.4429,4.575,4.582,4.4682,4.2345,4.0192
WBGene00008691,F11C1.2,3.9757,3.7335,3.1359,3.2321,3.7296,4.0954,4.5519,4.3694,3.9315,3.3873
WBGene00008692,F11C1.3,1.3407,2.0951,2.6309,2.6296,2.4935,2.9169,2.8093,3.8515,4.5317,4.6488
WBGene00008693,F11C1.4,0.68314,2.493,2.1542,1.6492,1.9809,2.4523,2.0212,2.6225,2.6862,4.1728
WBGene00008694,F11C1.5,1.9034,2.4438,2.2379,2.2195,2.4734,2.4468,2.8554,2.5983,2.5347,2.3788
WBGene00045495,F11C1.7,2.8301,2.9075,2.7806,2.7726,3.0791,3.1723,3.3313,3.2992,3.3885,2.8187
WBGene00008695,F11C3.1,2.4701,3.1802,3.9985,4.1891,4.1352,4.2825,4.0054,3.9937,3.5372,3.5218
WBGene00017376,F11C7.2,1.7778,2.283,1.8449,1.8037,1.6612,1.6977,1.6674,2.023,1.9485,4.6936
WBGene00017378,F11C7.6,0.58221,1.0272,0.66086,0.50108,0.26514,0.38299,1.2726,1.0925,1.3913,3.4004
WBGene00017379,F11C7.7,2.7348,2.305,2.0691,2.0066,2.146,2.0923,2.0131,2.2889,2.2313,4.4237
WBGene00045362,F11D11.12,1.6893,4.1714,4.3361,4.011,3.5477,2.8635,1.6319,1.5146,1.6729,1.6763
WBGene00008698,F11D11.3,0.68495,1.1911,0.83495,0.68335,0.83298,0.73257,1.0599,0.94578,1.1056,1.3361
WBGene00008701,F11D11.6,1.3649,2.5996,2.0407,1.7696,1.9996,1.8663,1.3021,1.6375,2.001,1.3634
WBGene00017380,F11D5.1,1.6333,1.7933,1.83,1.8028,2.0811,2.0818,2.6169,2.5013,3.1762,2.5217
WBGene00017382,F11D5.5,1.0566,1.0401,1.4363,1.9033,2.1309,2.1917,1.7288,2.2479,1.8773,2.1799
WBGene00017383,F11D5.6,3.0952,2.9882,2.7396,2.6396,3.0099,3.3411,3.6093,3.5294,3.7608,3.6521
WBGene00043980,F11D5.7,1.4751,1.5706,1.6815,1.962,1.7304,1.7478,1.5926,2.1796,1.753,2.0464
WBGene00008706,F11E6.1,0.76531,2.3269,3.4838,4.3044,4.6056,4.8542,4.8023,4.5476,3.7969,4.2593
WBGene00008713,F11E6.10,0.70279,1.2835,1.0023,1.1671,2.2334,3.2924,3.3753,3.781,4.0033,3.3299
WBGene00023501,F11E6.11,0.78399,1.2388,0.82696,0.81345,0.60672,0.68659,0.59766,1.0294,1.1986,2.8757
WBGene00008707,F11E6.3,1.0725,1.0103,1.5812,1.7591,1.7356,1.8091,3.5172,3.8829,3.8429,4.9385
WBGene00008708,F11E6.4,0.56868,1.4907,0.65286,0.48477,0.24149,0.89059,1.6374,2.6928,3.8704,2.4246
WBGene00008709,F11E6.6,2.383,2.3628,2.1473,1.9186,1.9972,2.0754,2.152,2.4584,2.4918,3.9665
WBGene00008710,F11E6.7,5.2898,5.2804,5.2508,5.2442,5.2327,5.2904,4.8833,4.6019,3.9142,4.6712
WBGene00008711,F11E6.8,1.6277,1.897,1.3916,0.86186,1.1115,0.99366,2.8896,4.194,4.2662,3.4722
WBGene00008712,F11E6.9,0.61586,1.6443,2.2428,2.2648,2.4287,2.7467,3.1127,4.469,5.1262,4.4167
WBGene00008714,F11F1.1,1.6332,1.7044,1.7931,1.6388,1.5343,1.255,2.4831,3.3183,3.2226,3.8058
WBGene00008715,F11F1.2,0.86875,1.1605,1.9204,1.7123,1.2476,0.96318,1.7561,2.7088,2.8444,3.2842
WBGene00008716,F11F1.4,1.2695,1.3816,1.5504,1.357,1.2812,1.2582,1.2221,1.9841,2.1549,2.3203
WBGene00008717,F11F1.5,1.2155,1.1893,2.0177,1.8396,1.3406,0.86185,0.84912,1.4613,2.2507,2.2225
WBGene00008718,F11F1.6,1.1165,1.4652,1.0393,1.1471,1.2538,1.3731,4.0222,4.8306,4.9137,4.1873
WBGene00017388,F11G11.13,5.2579,5.1956,5.1395,4.8877,4.2444,3.971,3.4493,3.5251,3.3792,3.6256
WBGene00044384,F11G11.14,0.64842,1.1982,1.2019,0.93582,1.1391,0.93514,0.62977,1.5496,2.513,1.4359
WBGene00017385,F11G11.5,4.8164,4.8331,4.5502,4.2493,4.3763,4.6368,4.6451,4.6643,4.5966,4.2341
WBGene00017387,F11G11.9,0.5768,1.1327,1.0677,0.47766,0.4173,0.41919,0.35238,0.68368,0.96282,0.89172
WBGene00017390,F12A10.1,0.67276,1.104,0.69127,0.61853,0.52454,0.89437,0.70873,2.935,3.5439,4.1336
WBGene00017391,F12A10.2,1.5803,4.0158,3.8898,4.1645,4.4032,4.6888,4.7447,4.7902,4.6527,4.7096
WBGene00017393,F12A10.4,0.60859,1.0359,0.87025,0.51278,0.61923,0.53396,0.67311,0.49623,1.0693,1.4319
WBGene00017394,F12A10.5,1.0134,1.3684,1.1145,0.61309,0.26859,0.4082,0.92747,1.0701,2.5982,3.3769
WBGene00017395,F12A10.6,1.484,2.981,2.9191,3.2259,3.4637,4.0851,4.178,4.2844,3.8714,4.1331
WBGene00017396,F12A10.7,0.67627,1.5583,1.3684,1.2939,1.3453,1.5624,1.9227,1.9767,2.1796,1.5718
WBGene00017397,F12A10.8,4.7498,4.5556,4.3413,3.8752,4.0005,4.3294,4.3686,4.4825,4.2323,4.0345
WBGene00077704,F12A10.9,1.3104,2.5686,3.1332,1.6899,0.72455,0.48667,0.45466,2.498,1.9558,3.4771
WBGene00017398,F12B6.2,0.68208,1.3566,0.9935,0.66651,0.57349,0.67878,2.6816,2.8988,2.6714,3.7534
WBGene00017401,F12D9.2,1.4051,2.5479,2.3641,1.9526,1.637,1.5726,1.3679,1.5937,1.809,1.9923
WBGene00017402,F12E12.1,4.9608,5.0476,5.0814,5.0742,4.7422,3.9196,1.7874,1.8568,1.2756,0.92573
WBGene00044811,F12E12.11,2.9087,3.0455,2.84,2.6561,2.5689,2.341,1.8445,2.5193,1.9131,3.6511
WBGene00086558,F12E12.12,2.6475,3.5298,3.2102,3.2243,2.8683,2.1176,2.0151,2.6058,1.9311,3.4193
WBGene00017403,F12E12.2,0.81475,1.2278,1.0407,0.85194,0.86191,0.76352,0.59528,1.0811,1.1908,0.99466
WBGene00017404,F12E12.3,2.7687,2.9311,2.6321,2.183,1.8942,2.1112,2.3949,2.3462,3.4153,3.4106
WBGene00017407,F12E12.6,1.1031,1.1845,0.77808,0.63782,0.34458,0.56466,0.4538,0.59099,1.0693,1.0123
WBGene00008720,F12F6.1,4.9221,5.0133,4.8129,4.8604,5.0485,5.1152,4.9437,4.947,4.8972,4.4337
WBGene00045196,F12F6.10,0.6389,1.5085,1.4353,1.0932,1.2178,1.2124,1.6082,1.565,1.0194,2.3989
WBGene00008721,F12F6.2,1.8556,1.8012,1.6175,1.6879,1.4654,1.4303,1.5363,1.5602,1.7852,1.6513
WBGene00008722,F12F6.7,5.2217,5.1924,5.0789,4.8696,4.9197,5.0311,4.802,4.6102,4.0122,4.5216
WBGene00008723,F12F6.8,0.9708,2.592,2.4145,1.7743,1.8431,1.693,1.48,1.1218,1,0.95807
WBGene00017410,F13A2.1,0.80286,1.0093,0.71063,0.55394,0.63337,0.37926,0.48776,0.47742,0.98094,1.1359
WBGene00017411,F13A2.2,0.8324,1.1543,1.0573,0.61285,0.4449,0.45786,0.69408,1.5334,1.9168,1.0508
WBGene00017412,F13A2.3,0.72718,1.1138,0.77391,0.59925,0.36503,0.48242,1.4755,0.99431,1.3245,1.0181
WBGene00017413,F13A2.4,3.2911,3.4273,3.2625,3.2294,3.1158,2.9701,1.9248,1.9664,1.6403,0.99006
WBGene00017414,F13A2.5,1.1379,1.7014,1.4794,0.92938,1.2858,1.1101,1.2257,0.96558,2.1428,1.0016
WBGene00017415,F13A2.6,0.57322,1.1002,0.92986,0.72651,0.50091,0.55367,0.58532,0.47514,0.963,0.90198
WBGene00044531,F13A2.9,2.1245,2.0365,1.8935,1.8041,1.7737,1.9181,1.9085,2.2207,2.1874,2.0464
WBGene00008724,F13A7.1,0.7844,1.2484,0.80015,0.73838,0.389,0.61307,0.48705,0.75411,1.6735,1.0419
WBGene00008726,F13A7.11,3.2074,3.3105,3.2216,2.9306,2.5497,2.6266,2.4791,2.4739,2.7397,3.4396
WBGene00008727,F13A7.12,0.65278,2.9773,2.639,2.2298,1.717,0.80956,1.5264,1.7862,4.2502,3.5839
WBGene00045357,F13A7.14,4.8789,5.0106,4.9838,4.9209,4.8948,4.9114,4.6429,4.4563,3.615,3.7315
WBGene00008725,F13A7.7,0.77868,1.0509,0.69551,0.56757,0.35433,0.53292,0.48814,0.51718,1.0879,0.96215
WBGene00008729,F13B12.1,5.0642,5.1679,5.11,4.996,4.8459,4.8973,4.8581,4.7734,4.3036,4.3631
WBGene00008730,F13B12.2,0.81947,1.7137,2.7153,3.0865,3.5655,4.2159,4.1512,4.2827,4.0678,4.3547
WBGene00008731,F13B12.3,0.59778,1.4708,1.3606,0.74736,0.37358,0.51129,0.83407,3.5842,4.4576,3.856
WBGene00008732,F13B12.4,0.59929,1.0893,0.91246,1.2826,0.86677,0.50923,0.5287,1.4875,4.53,3.6995
WBGene00008733,F13B12.6,2.9835,2.9838,2.5515,2.7656,3.3678,3.6119,3.0699,3.1026,3,2.5943
WBGene00008734,F13B12.7,0.8386,1.713,1.284,0.70428,0.8092,0.85103,0.78312,2.1603,2.89,2.5282
WBGene00017416,F13B6.1,2.4914,2.5408,2.2342,2.1926,2.394,3.4497,3.3452,3.4029,3.2075,4.238
WBGene00017417,F13B6.2,0.65293,1.1527,0.99662,0.73178,0.62993,0.78372,0.77011,1.1503,1.0364,4.2439
WBGene00017418,F13B6.3,2.2992,2.6763,2.3059,2.0842,2.1066,2.1965,2.4954,2.9933,2.677,5.0731
WBGene00017419,F13B9.1,2.029,2.5216,1.9337,1.5496,2.1671,2.0248,2.1363,1.6143,2.2594,2.053
WBGene00017420,F13B9.2,1.6765,2.1354,2.1465,2.1476,1.8597,1.881,2.5707,2.6268,4.5883,4.4568
WBGene00017422,F13C5.1,3.2944,3.043,2.7478,2.6186,3.2287,3.0862,3.1382,3.025,3.1309,2.8548
WBGene00017423,F13C5.2,3.3538,4.5044,4.6409,4.9573,5.0279,5.0945,5.0044,5.0014,4.7854,4.2854
WBGene00017424,F13C5.3,1.292,1.4752,1.3132,1.3114,1.0954,1.2116,1.3912,1.6909,1.3991,1.8099
WBGene00017426,F13C5.5,1.7799,1.616,0.83567,0.61626,0.90115,0.51279,2.1591,4.3974,4.7793,4.4847
WBGene00017428,F13D11.3,1.3344,2.2132,1.5327,1.0887,1.1577,0.63754,4.2068,4.4141,3.1726,4.4962
WBGene00017429,F13D11.4,2.2982,2.7677,2.9669,3.0647,2.9381,2.5839,4.2969,4.858,5.0915,5.0117
WBGene00008744,F13D12.10,2.4834,4.3162,4.2576,4.0526,3.3942,2.9593,2.598,3.1393,2.707,4.0852
WBGene00008739,F13D12.3,2.5375,4.0572,4.1484,4.1738,3.3135,2.66,2.6665,3.2486,2.5348,3.6565
WBGene00008740,F13D12.5,4.616,4.4608,3.9864,3.3534,2.9951,2.942,2.8276,2.9494,2.8546,2.7202
WBGene00008741,F13D12.6,0.81402,1.0098,0.65439,1.0435,1.1762,1.066,2.0329,2.4139,3.4398,4.8189
WBGene00008742,F13D12.8,3.0894,3.2773,3.2014,3.4549,3.9112,4.0096,4.346,4.4649,4.5868,4.4528
WBGene00008743,F13D12.9,1.098,1.4489,1.6557,1.601,1.1475,1.0414,0.9184,0.89781,2.7544,2.6827
WBGene00008735,F13D2.1,0.78773,1.1991,0.92938,0.80978,0.84607,1.2008,1.6274,2.7411,3.4112,3.3067
WBGene00008738,F13D2.4,0.66773,1.5907,1.3373,0.76972,0.75183,1.1276,2.7994,3.5539,3.3852,3.3379
WBGene00008745,F13E6.1,4.6231,4.8285,4.7979,4.8217,5.0325,5.1899,5.1977,5.1643,5.0363,4.6876
WBGene00008746,F13E6.2,1.1537,1.6397,1.6373,1.6718,1.7054,2.0176,2.091,2.1242,3.0129,3.9644
WBGene00008747,F13E6.3,4.5643,4.5455,4.2152,3.9216,4.1271,4.1054,3.4555,3.5777,3.3179,2.7741
WBGene00008748,F13E6.4,1.1447,2.4688,2.4559,2.6589,2.6337,2.4989,3.7935,4.0428,3.8802,3.4766
WBGene00008749,F13E6.5,4.7552,4.794,4.6825,4.6181,4.8048,4.9076,4.9206,4.882,4.7078,4.711
WBGene00008750,F13E9.1,4.4991,4.5182,3.8662,3.6284,3.8469,4.0506,3.8561,3.7903,3.4879,3.7173
WBGene00008759,F13E9.10,0.58701,1.121,0.66476,0.50696,0.50955,0.38984,0.37588,0.49916,0.98433,0.9206
WBGene00008760,F13E9.11,2.6419,4.2499,4.2582,3.5389,3.3873,4.3183,5.2113,5.2577,5.234,4.4341
WBGene00008761,F13E9.12,0.66341,2.5218,2.6164,2.3941,2.2617,2.2475,1.3203,1.9262,1.3707,3.7547
WBGene00044797,F13E9.13,1.7139,4.3734,4.6244,4.8366,4.9687,5.0368,4.8396,4.7753,4.6205,4.3796
WBGene00045207,F13E9.14,1.475,1.7066,1.6195,1.6721,1.9605,1.7147,1.7931,1.987,1.9888,3.4383
WBGene00045208,F13E9.15,0.87083,1.3217,1.32,1.4258,0.9834,1.1065,1.3034,1.4349,1.9897,4.1554
WBGene00008753,F13E9.4,0.67819,1.1201,0.77892,0.58782,0.37145,0.48381,0.47794,0.59386,1.0604,0.97811
WBGene00008754,F13E9.5,0.92016,1.6326,0.95421,0.84405,0.89499,1.0288,0.4117,0.64727,1.7755,1.7101
WBGene00008757,F13E9.8,0.62117,1.41,0.68952,0.53896,0.28926,0.41919,0.4162,0.53439,1.0201,1.6072
WBGene00008758,F13E9.9,0.74048,1.0262,0.90316,0.50249,0.50561,0.38137,0.46876,0.82705,1.3017,1.8866
WBGene00008772,F13G11.2,1.5448,2.0261,1.7116,1.5251,1.8063,1.46,1.4181,1.5888,1.9531,1.3377
WBGene00045038,F13G11.3,1.0402,2.4829,2.3217,1.6768,1.6272,1.392,1.497,2.1557,2.3103,0.88784
WBGene00008768,F13G3.10,5.0773,5.0613,5.0749,5.0769,5.0355,5.0852,5.0431,5.0539,4.8842,4.8254
WBGene00008769,F13G3.11,4.8987,4.6706,4.4675,4.592,4.8027,4.9399,5.0386,5.012,4.8509,4.8821
WBGene00008770,F13G3.12,1.5731,1.9731,2.6643,2.0647,1.6394,1.6663,1.7771,2.0966,2.1192,4.1337
WBGene00008763,F13G3.3,0.81478,1.1754,1.3734,1.0404,1.4866,1.8497,2.5526,3.423,3.9895,3.1703
WBGene00008766,F13G3.6,4.4438,4.6471,4.5455,4.3671,4.431,4.591,4.7061,4.6553,4.2901,4.2173
