WormBase Id,Public Name,stage_4_cell,stage_E_div,stage_4_AB_div,stage_5_AB_div,stage_6_AB_div,stage_7_AB_div,stage_VE,stage_CS,stage_Mov,stage_L1
WBGene00000033,abu-10,0.67588,1.0922,0.84227,0.74157,0.60935,1.0002,2.1727,1.7472,1.5056,1.2395
WBGene00000034,abu-11,1.8744,2.893,2.6818,2.7063,2.3755,1.6313,1.2765,1.5128,1.7212,1.8773
WBGene00000025,abu-2,1.1214,1.2439,1.3801,1.2545,0.8964,0.95101,1.184,1.4338,1.5921,1.7704
WBGene00000026,abu-3,1.6612,2.1293,1.926,1.4425,1.5521,1.5725,1.6277,1.809,1.872,1.7522
WBGene00000027,abu-4,1.8265,1.9448,1.9272,2.0832,2.2324,2.3637,2.8617,3.0163,2.819,2.2198
WBGene00000031,abu-8,1.6925,2.0109,1.8345,1.9039,2.2833,2.3885,2.2204,2.3506,2.26,2.4601
WBGene00000032,abu-9,1.4353,2.1907,1.7597,1.8177,2.2102,2.2439,2.0665,1.982,2.1525,2.5413
WBGene00007071,AC3.5,2.1309,2.203,2.0128,2.0024,2.1144,2.1197,2.127,2.3263,2.3964,4.2549
WBGene00014997,AC7.3,1.5637,1.7527,1.6135,1.4569,1.5642,1.6266,1.823,1.8772,2.0301,2.0589
WBGene00043988,AC8.10,0.69238,1.1599,0.93522,0.62679,0.90797,0.9952,0.9382,1.136,1.5132,1.4422
WBGene00043989,AC8.11,2.7842,2.8279,2.6052,2.608,2.8393,3.0059,3.1388,3.2285,3.3871,3.427
WBGene00043990,AC8.12,0.68685,2.0618,2.1606,2.2176,2.5943,2.6016,2.7492,2.8467,2.9241,2.7811
WBGene00016655,acbp-1,5.0202,5.0561,5.0679,5.0053,4.7909,4.8005,4.8144,4.8134,4.703,5.0988
WBGene00009818,acbp-3,2.0459,2.7922,3.005,2.8831,3.2318,3.944,4.9974,5.3251,5.3264,5.2093
WBGene00018949,acbp-4,2.2474,2.3322,2.1521,1.825,1.8361,1.7316,1.5131,1.7892,2.1598,1.5065
WBGene00011731,acbp-5,4.8019,4.6774,4.3919,3.7532,3.8801,4.192,4.1025,3.8245,3.4867,3.6854
WBGene00012457,acbp-6,2.5586,3.4096,3.386,3.2723,3.1261,2.9811,2.962,4.2725,4.8577,3.9391
WBGene00044603,acbp-7,0.62465,1.2792,0.72215,0.75098,0.309,0.43493,0.42184,0.54637,2.7074,2.6917
WBGene00010275,acc-1,1.364,1.4159,1.0416,0.84486,1.1683,1.0063,1.3045,1.1118,1.6415,1.7382
WBGene00008280,acc-2,1.0629,1.656,1.905,2.2037,1.6095,1.2366,1.2318,2.3183,1.8889,3.6412
WBGene00018880,acc-3,2.0361,2.0477,2.0513,2.2338,3.021,3.4565,2.7504,2.5858,2.3915,3.8446
WBGene00012099,acc-4,2.9272,3.2195,2.898,2.8133,2.756,2.5959,2.6055,2.3529,3.1802,4.1995
WBGene00016064,acd-1,0.96678,1.3214,1.9031,1.6023,0.64011,0.72078,0.77172,0.81365,1.0616,2.6268
WBGene00016943,acdh-1,2.137,1.9839,1.8932,2.3356,4.2693,5.078,5.3663,5.3723,5.2722,5.3778
WBGene00020366,acdh-10,5.1642,5.2055,5.1828,5.2011,5.2573,5.3002,5.2981,5.2495,5.1033,5.0789
WBGene00012860,acdh-11,4.5936,4.8009,4.616,4.4427,4.3175,4.4439,4.7094,4.8461,4.4887,4.1971
WBGene00017125,acdh-12,4.7679,4.8921,4.6183,4.1944,3.8724,4.1648,4.6976,4.5748,4.1108,4.1121
WBGene00001566,acdh-13,2.8505,2.3614,2.192,2.4378,2.9932,3.0835,3.1246,3.1209,2.9776,3.3924
WBGene00015894,acdh-2,1.0954,2.2525,2.4444,2.8402,4.0709,4.4297,5.0067,4.793,4.0829,1.7887
WBGene00019433,acdh-3,5.1485,5.2129,5.1217,4.723,4.1603,4.2468,4.4196,4.4816,4.2652,4.8745
WBGene00020419,acdh-4,5.0767,5.1284,5.0487,4.6396,4.0215,4.1973,3.9811,3.9787,3.6931,4.7086
WBGene00016491,acdh-5,0.89337,1.174,0.82293,0.99749,0.46859,1.1122,0.48972,0.60465,1.0659,0.98814
WBGene00015335,acdh-6,0.63928,1.0856,0.72081,0.64552,1.5624,1.94,1.4792,1.9999,1.9455,3.3444
WBGene00020812,acdh-7,5.3047,5.2989,5.2997,5.326,5.3563,5.3938,5.3161,5.2696,5.1529,5.1654
WBGene00019406,acdh-8,4.7629,4.8593,4.8342,4.8756,4.9078,4.9515,4.9227,4.7886,4.6695,4.5081
WBGene00017874,acdh-9,4.825,4.824,4.6631,4.3324,4.4336,4.6748,5.0784,5.1571,5.0322,4.9876
WBGene00000035,ace-1,0.97222,1.5784,1.3926,1.0154,1.221,0.62529,0.97854,2.0233,3.4148,3.0128
WBGene00000036,ace-2,1.4031,1.6414,1.3436,1.0905,1.0728,1.4057,1.4263,1.7836,1.7792,1.9767
WBGene00000037,ace-3,0.68066,1.3192,0.87275,0.9354,1.177,1.166,2.3707,2.7783,3.5846,2.8869
WBGene00000038,ace-4,0.60041,1.0364,0.66608,0.50858,0.27653,0.39326,0.37954,1.0396,1.3381,1.2765
WBGene00016601,acin-1,4.8472,4.9688,4.8891,4.8883,4.7909,4.8761,4.8457,4.7917,4.4419,4.4736
WBGene00010339,acl-1,4.439,3.9608,3.6454,3.6395,3.8014,4.1355,4.302,4.2523,4.1558,4.4678
WBGene00017888,acl-11,4.6678,4.5517,3.9185,3.4354,3.8842,4.2187,4.1981,4.1394,3.9864,4.0564
WBGene00015295,acl-12,3.5467,3.3017,3.1447,3.324,3.6444,4.1756,4.6033,4.6039,4.3251,4.0981
WBGene00008581,acl-13,2.1849,2.3079,2.0741,1.9622,1.8773,1.6766,1.2798,1.478,1.3759,1.484
WBGene00019465,acl-14,5.1517,5.0181,4.7749,4.7356,4.9085,5.0331,4.9846,4.9429,4.8585,4.9142
WBGene00011543,acl-2,4.9367,4.6195,4.4375,4.3529,4.4834,4.6538,4.7366,4.6826,3.9374,4.5143
WBGene00006491,acl-3,4.8264,4.4939,3.9595,3.2724,3.287,3.5336,3.4928,3.5047,3.176,3.8914
WBGene00018657,acl-4,4.148,4.1857,3.3473,2.8501,3.1408,3.8199,3.9981,3.7179,3.4229,3.5827
WBGene00011106,acl-5,4.7282,4.7524,4.5871,4.4775,4.4685,4.7401,4.8688,4.9664,4.8227,4.6623
WBGene00017261,acl-6,5.0346,4.7874,4.3582,3.8536,3.8932,4.3185,4.4826,4.5016,4.0639,4.3171
WBGene00012911,acl-7,3.4086,3.3106,3.0054,2.4304,2.7618,3.6001,4.4373,4.4084,3.5519,5.0154
WBGene00020264,acl-8,1.3779,1.4897,1.3831,1.1688,1.9144,1.9406,2.1212,2.3537,2.2838,1.9687
WBGene00022646,acl-9,5.1857,5.119,4.9283,4.6421,4.5905,4.8107,5.0108,4.9516,4.7922,4.5991
WBGene00000039,acn-1,0.9025,2.0262,1.5178,1.2848,1.6403,1.2148,4.2219,4.7378,4.9763,4.6345
WBGene00000040,aco-1,5.1044,5.1689,5.0638,5.0574,5.1668,5.2846,5.291,5.2384,5.1279,5.2994
WBGene00000041,aco-2,4.8265,4.833,4.5785,4.4006,4.3409,4.2997,4.4931,4.5593,4.5967,4.6956
WBGene00022770,acp-1,0.67887,1.2917,1.9299,2.8419,3.2929,3.6774,3.6783,4.0949,3.9519,4.1568
WBGene00008802,acp-2,0.85075,3.6267,4.65,4.9922,5.0286,5.0285,3.4174,2.4105,2.1728,3.4673
WBGene00008801,acp-3,0.56994,1.2167,0.88571,0.47895,0.22795,0.34875,0.45671,0.77093,0.95728,1.3854
WBGene00008804,acp-4,0.75171,1.1686,0.77371,0.66085,0.6234,0.66888,0.5134,0.78057,1.0087,0.9576
WBGene00017427,acp-5,1.3242,1.9637,3.9277,4.4488,4.6511,4.7196,4.5882,4.5422,4.1164,4.7282
WBGene00022245,acp-6,1.2021,2.2946,3.75,4.4155,4.5767,4.8356,4.6821,4.5051,3.424,5.1353
