"Feeding type","Predator lifestage","Location","Intercept","Slope","R Squared","F Statistic","p-value"
"insectivorous","larva / juvenile","Strait of Georgia",0.946030011005037,0.384249046154572,0.125577629410638,4.3083628793485,0.0465944025225441
"piscivorous","adult","Apalachicola Bay, Florida",6.96676095437558,0.315601167257104,0.13840835729043,13.4939818773466,0.000420131370657502
"piscivorous","adult","Atlantic Ocean",6.29080531131297,0.260141577182126,0.167648928394049,2213.96605803832,0
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",12.3638007966521,-0.00075571948748518,1.05682888325711e-05,0.000739788036572916,0.9783783713188
"piscivorous","adult","Eastern Mediterranean",2.84395790386421,0.652009130082474,0.621375968997542,205.142805962542,3.90742334690276e-28
"piscivorous","adult","Europe, Celtic Sea ecosystem",5.1972808252112,0.446320367632756,0.360856572626597,1179.43695879791,2.57239252512457e-205
"piscivorous","adult","French Polynesian EEZ",9.80728447063054,-0.00344440892783732,0.000137077297159918,0.257603552961976,0.611830912872727
"piscivorous","adult","Great Channel South, Gulf of Maine, New England",10.77512339479,0.275645033772453,0.236407118878563,224.458825408693,2.09079088296548e-44
"piscivorous","adult","Great South Bay, Long Island, New York",3.04781706869486,0.381984962733834,0.268430572529679,108.242657392169,8.43412441946386e-22
"piscivorous","adult","Gulf of Maine, New England",12.140634178118,0.0637787507225829,0.0036989019587081,0.293298135786877,0.589638854188326
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",11.3795272341053,0.107808454068971,0.0955172500566953,40.8688565638825,4.69052308104254e-10
"piscivorous","adult","Mid Atlantic",4.15309731870386,0.102300793203792,0.0484716094614918,3.71867778814919,0.0576960215780974
"piscivorous","adult","Off the Bay of Biscay",10.6433842999675,0.192985490250415,0.142626808084678,59.2217533239136,1.39971967104614e-13
"piscivorous","adult","South of Marthas Vineyard, New England",9.90592950591141,0.486799091516026,0.136288598876772,2.20911797828936,0.159367429953626
"piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",11.7923413214185,0.108492499541345,0.0385393345397022,20.2024121275,8.6504189134636e-06
"piscivorous","juvenile","Apalachicola Bay, Florida",7.61765814929771,0.255431068910441,0.0622128331867773,1.79118093687622,0.191944478653282
